library	sample	read1	read2	interleaved
MON0716_1	MON0716_1	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0716_1_S76_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0716_1_S76_R2_001.fastq.gz	
MON0718	MON0718	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0718_S77_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0718_S77_R2_001.fastq.gz	
MON0719	MON0719	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0719_S78_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0719_S78_R2_001.fastq.gz	
MON0720	MON0720	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0720_S79_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0720_S79_R2_001.fastq.gz	
MON0721	MON0721	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0721_S80_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0721_S80_R2_001.fastq.gz	
MON0722	MON0722	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0722_S81_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0722_S81_R2_001.fastq.gz	
MON0723	MON0723	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0723_S82_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0723_S82_R2_001.fastq.gz	
MON0724	MON0724	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0724_S83_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0724_S83_R2_001.fastq.gz	
MON0725	MON0725	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0725_S84_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0725_S84_R2_001.fastq.gz	
MON0726	MON0726	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0726_S85_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_3/A00548_0548_CTan_RSB_MN08/MON0726_S85_R2_001.fastq.gz	
