sample	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	meta_source	parsed_date	errors
CCA0755	Eucalyptus goniocalyx subsp. exposa						Mt. Aleck, 100m north of summit, SA	Dean Nicolle				dp15		no_latlong
CCA0758	Eucalyptus blakelyi		-29.74583333	151.5605556	969	WGS84	Near Bingara, New South Wales.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0761	Eucalyptus dealbata		-29.74583333	151.5605556	969	WGS84	Near Bingara, New South Wales.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0762	Eucalyptus dealbata		-29.74583333	151.5605556			Inverell, NSW	Dean Nicolle				dp15		
CCA0768	Eucalyptus fibrosa		-29.30222222	152.6447222	157	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0773	Eucalyptus kabiana						Lower slope of Mt. Beerwah, Glasshouse Mountains, Queensland.	Dean Nicolle				dp15		no_latlong
CCA0783	Eucalyptus elegans		-27.11666667	150.6933333			Kogan, Qld	Dean Nicolle				dp15		
CCA0786	Eucalyptus argophloia		-26.63111111	150.7347222			Burncluith, Qld	Dean Nicolle				dp15		
CCA0790	Eucalyptus sparsifolia		-33.67361111	150.5483333	446	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0800	Eucalyptus prava		-28.86666667	151.9666667	1117	WGS84	Walking track to summit of Mt. Norman, Qld.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0804_rep1	Eucalyptus amplifolia subsp. sessiliflora		-29.07972222	152.0044444			Tenterfield, NSW	Dean Nicolle				dp15		
CCA0804_rep2	Eucalyptus amplifolia subsp. sessiliflora		-29.07972222	152.0044444			Tenterfield, NSW	Dean Nicolle				dp15		
CCA0807	Eucalyptus sideroxylon		-28.90083333	151.9077778	847	WGS84	Qld.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0807_rep1	Eucalyptus sideroxylon		-28.90083333	151.9077778			Wallangarra, Qld	Dean Nicolle				dp15		
CCA0807_rep2	Eucalyptus sideroxylon		-28.90083333	151.9077778			Wallangarra, Qld	Dean Nicolle				dp15		
CCA0808	Eucalyptus sideroxylon		-28.90083333	151.9077778	847	WGS84	Qld.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0813	Eucalyptus baileyana		-29.45305556	152.8225	94	WGS84	Coaldale Road, between Grafton and Baryulgil, New South Wales.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
