sample	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	meta_source	parsed_date	errors
NSW0093	Eucalyptus melliodora		-31.76386965	150.6680448	464.679443	WGS84		Helen Bothwell		Y	Redder/yellower bark, 5-valved fruits bigger and plumper, good Emel, leaves more blue-grey and bigger, not as frondy, lots of fruit, flowering	dp15		
NSW0096	Eucalyptus melliodora		-31.15869398	151.0484082	422.62207	WGS84		Helen Bothwell		Y	Right along roadside by house, potentially planted, heavy w flowers/umbels/bees (melliodora!), only 2 fruits but big and plump 5-valved, good Emel bark, ovate juv leaves, medium aged; Finally not raining!	dp15		
NSW0097	Eucalyptus melliodora		-31.23102997	151.1084895	451.221069	WGS84		Helen Bothwell		Y	Possibly planted along roadside row along dirt rd, but OLD, big plump 5-valved fruits, umbels of 7, nurse tree to Brachychiton	dp15		
NSW0098	Eucalyptus melliodora		-31.41448109	151.1365435	560.810547	WGS84		Helen Bothwell		Y	HUGE old Emel, good ovate juv leaves, 5-valved fruits; Again, most ALA Emel through here do not exist (either mortality or mis-ID)	dp15		
NSW0101	Eucalyptus melliodora		-31.44565078	151.0999205	643.723633	WGS84		Helen Bothwell		Y	TONS of plump 5-valved fruit, loaded w flowers and bees, classic Emel bark, older	dp15		
NSW0105	Eucalyptus melliodora		-31.4757414	150.9396289	616.085938	WGS84		Helen Bothwell		Y	All by itself, open pastures all around, LOTS of 4/5-valved fruits	dp15		
NSW0106	Eucalyptus sideroxylon		-31.3407138	150.8736165	490.634766	WGS84		Helen Bothwell		Y	LOTS of big 5-valved fruits	dp15		
NSW0108	Eucalyptus melliodora		-31.37221894	150.8601643	554.321777	WGS84		Helen Bothwell		Y	HUGE old Emel, plenty of 5 but also a few 6-valved fruits,	dp15		
NSW0113	Eucalyptus melliodora		-31.25033283	150.8299387	460.834229	WGS84		Helen Bothwell		Y	Mid-aged tree, lots of 5/6-valved fruits	dp15		
NSW0114	Eucalyptus melliodora		-31.24584189	150.6761998	389.456787	WGS84		Helen Bothwell		Y	Big old Emel, lots of 5-valved fruits, just done flowering	dp15		
NSW0116	Eucalyptus melliodora		-31.14944824	150.5618832	311.350342	WGS84		Helen Bothwell		Y	Monster old Emel, heavy w flowers, lots of fruit and bees, big plump 5-valved fruits	dp15		
NSW0118	Eucalyptus melliodora		-31.16732567	150.8561391	400.511963	WGS84		Helen Bothwell		Y	Good Emel, plump 5-valved fruit, mid-aged	dp15		
NSW0120	Eucalyptus melliodora		-31.19051999	150.8392117	438.003052	WGS84		Helen Bothwell		Y	Good Emel, lots of fruit, just done flowering	dp15		
NSW0128	Eucalyptus melliodora		-31.45970875	150.5936909	348.120605	WGS84		Helen Bothwell		Y	BIG old tree, fruit smallish 5-valved, flowering branch leaves v thin and frondy (like willow), bark looks good, axial umbels	dp15		
NSW0128_1	Eucalyptus melliodora		-31.45970875	150.5936909	348.120605	WGS84		Helen Bothwell		Y	BIG old tree, fruit smallish 5-valved, flowering branch leaves v thin and frondy (like willow), bark looks good, axial umbels	dp15		
NSW0128_2	Eucalyptus melliodora		-31.45970875	150.5936909	348.120605	WGS84		Helen Bothwell		Y	BIG old tree, fruit smallish 5-valved, flowering branch leaves v thin and frondy (like willow), bark looks good, axial umbels	dp15		
NSW0129	Eucalyptus melliodora		-31.42181005	150.4888877	325.289307	WGS84		Helen Bothwell		Y	Plenty of seed and good Emel plump 5-valved fruits, juv leaves ovate, mature leaves not frondy	dp15		
NSW0131	Eucalyptus melliodora		-31.4067932	150.2283943	321.684448	WGS84		Helen Bothwell		Y	Good Emel fruits	dp15		
NSW0137	Eucalyptus melliodora		-31.40040787	149.7085042	421.901123	WGS84		Helen Bothwell		Y	Back to open woodland, Emel good plump fruits 4/5-valved, bottom bark good but top very white/smooth, leaves frondy, hyb w red box? All around here trees look a bit more red boxy. This was one of the few trees that looked more Emel; in stand of Supple HL210-219; Open farmland after this, lots of trees in this area w rougher, darker/redder bottom bark and white smooth upper	dp15		
NSW0142	Eucalyptus melliodora		-31.2737356	149.3367654	510.822388	WGS84		Helen Bothwell		Y	Good Emel, wavy bark, plenty of fruit larger plump 5-valved, leaves gray-green and larger typical ovate, flowering; Most of the other woolier barked, thinner greener smaller leaved, smaller-fruited trees through here NOT flowering	dp15		
NSW0148	Eucalyptus melliodora		-31.58507117	149.3990021	413.009033	WGS84		Helen Bothwell		Y	Some seed, nice plump and 5-valved, typical Emel	dp15		
NSW0153	Eucalyptus melliodora		-32.07823453	150.241811	375.758179	WGS84		Helen Bothwell		Y	Good Emel, lots of fruit, nice plump 4/5-valved fruits, thin frondy leaves, but this seems common on flowering/fruiting racemes	dp15		
NSW0159	Eucalyptus melliodora		-31.96406588	150.4233439	362.780396	WGS84		Helen Bothwell		Y	Good Emel w fruit	dp15		
NSW0165	Eucalyptus melliodora		-32.13964513	150.3608248	270.734985	WGS84		Helen Bothwell		Y	Lots of fruit, possibly/likely planted; On drive home, took Bylong Valley Way from Sandy Hollow to Kandos. ALA lists numerous E. sideroxylon through here, but all the trees I checked were the thinner-leaved, smaller-fruited, grayer ironbark. I saw one tree that may have been sider, but it was innaccessible. Many of these through here appear to be missidentified. It is more mountainous terrain than I typically have found sider in. These higher elevations almost always turn out to be the small-fruited ironbark.	dp15		
NSW0166	Eucalyptus melliodora		-33.23415337	148.850199	541.10376	WGS84		Helen Bothwell		Y	Big old Emel, lots of fruit	dp15		
NSW0170	Eucalyptus sideroxylon		-32.1584081	148.6588052	334.902466	WGS84		Helen Bothwell		Y	Esid with fruit	dp15		
NSW0172	Eucalyptus sideroxylon		-32.05224576	148.5716864	298.132324	WGS84		Helen Bothwell		F	Esid, younger, only 5 fruits	dp15		
NSW0174	Eucalyptus melliodora		-31.75691092	148.7542546	306.784058	WGS84		Helen Bothwell		Y	Probably Emel, but fruits rather small 5-valved, axial umbels, plenty of fruit	dp15		
NSW0175	Eucalyptus melliodora		-31.82180948	148.8683249	319.521484	WGS84		Helen Bothwell		Y	Emel? But again v small fruits, 5-valved, v thin and narrow reproductive leaves, axial umbels	dp15		
NSW0180	Eucalyptus melliodora		-31.8304601	149.1688524	359.175537	WGS84		Helen Bothwell		Y	Good sized fruits but most 4-valved, good Emel bark, axial umbels and juv leaves	dp15		
NSW0181	Eucalyptus melliodora		-31.96752492	149.3376142	403.155518	WGS84		Helen Bothwell		Y	Perfect Emel, loads of plump 4/5-valved fruit, good juv leaves	dp15		
NSW0185	Eucalyptus sideroxylon		-32.11150758	149.2312073	394.984375	WGS84		Helen Bothwell		Y	Good Esid, plenty of fruit	dp15		
NSW0186	Eucalyptus sideroxylon		-32.15090018	149.232789	391.619751	WGS84		Helen Bothwell		N	Esid? Leaves and black-red bark good, drooping inflorescence, white tinged pink flowers, no fruit	dp15		
NSW0188	Eucalyptus melliodora		-32.18741921	149.2692459	399.791016	WGS84		Helen Bothwell		Y	TONS of 4/5 fruit, big old Emel	dp15		
NSW0189	Eucalyptus sideroxylon		-32.19448566	149.2754635	404.837769	WGS84		Helen Bothwell		Y	Good Esid, fruit, just finishing flowering white	dp15		
NSW0190	Eucalyptus sideroxylon		-32.32507914	148.7661722	402.194214	WGS84		Helen Bothwell		Y	Esid with lots of fruit and flowers	dp15		
NSW0191	Eucalyptus sideroxylon		-32.30811099	148.775933	412.288086	WGS84		Helen Bothwell		N	Esid, big tall older tree, no fruit, but flowers and umbels characteristicaly drooping, immature cups and leaves look good, bark also has the telling red-black tinge	dp15		
NSW0197	Eucalyptus sideroxylon		-32.28249421	148.5633969	332.258911	WGS84		Helen Bothwell		N	Esid w green fruit, look like just finished flowering, pinkish-orange dried flowers on ground below tree	dp15		
NSW0198	Eucalyptus sideroxylon		-32.46974886	148.3316664	380.084106	WGS84		Helen Bothwell		Y	Esid w lots of white flowers and lots of good fruit	dp15		
NSW0199	Eucalyptus sideroxylon		-32.48218727	148.3199077	348.36084	WGS84		Helen Bothwell		Y	Big tall old Esid, lots of fruit and white flowers, dried flowers here are also pink-orange tinged but white when alive	dp15		
NSW0200	Eucalyptus sideroxylon		-32.51479162	148.2882391	323.607056	WGS84		Helen Bothwell		F	Big tall old Esid, few fruits	dp15		
NSW0201	Eucalyptus sideroxylon		-32.3788566	148.2295863	282.510986	WGS84		Helen Bothwell		Y	Esid, flowering white, cups still large but a bit smaller than farther E, getting very arid now, lots of fruit	dp15		
NSW0202	Eucalyptus sideroxylon		-32.36638131	148.2309991	271.696289	WGS84		Helen Bothwell		Y	Esid w plenty of fruit	dp15		
NSW0205	Eucalyptus melliodora		-32.48684258	147.9255537	221.948486	WGS84		Helen Bothwell		Y	Very tall old Emel, perfect 5-valved fruits, good juv leaves and bark. FINALLY! Most ALA records in this area are either dead or misidentified	dp15		
NSW0206	Eucalyptus melliodora		-32.46047236	147.8798483	220.50647	WGS84		Helen Bothwell		Y	Good Emel, perfect leaves, lots of good 5-valved fruit; More ALA records along this road - likely tapped into a good little stand, but got too dark to sample more	dp15		
NSW0207	Eucalyptus melliodora		-32.87453963	148.1952447	300.776001	WGS84		Helen Bothwell		Y	Big tall Emel, TONS of good 5-valved fruit, 10-15 Emel lining road here; ALAM5824 - absent (dead and/or cleared)	dp15		
NSW0207_1	Eucalyptus melliodora		-32.87453963	148.1952447	300.776001	WGS84		Helen Bothwell		Y	Big tall Emel, TONS of good 5-valved fruit, 10-15 Emel lining road here; ALAM5824 - absent (dead and/or cleared)	dp15		
NSW0207_2	Eucalyptus melliodora		-32.87453963	148.1952447	300.776001	WGS84		Helen Bothwell		Y	Big tall Emel, TONS of good 5-valved fruit, 10-15 Emel lining road here; ALAM5824 - absent (dead and/or cleared)	dp15		
NSW0213	Eucalyptus melliodora		-33.00604667	148.1591849	359.65625	WGS84		Helen Bothwell		Y	Emel, lots of fruit	dp15		
NSW0220	Eucalyptus sideroxylon		-33.01505	147.9168203	319.761841	WGS84		Helen Bothwell		Y	Esid, fruit	dp15		
NSW0221	Eucalyptus sideroxylon		-32.97080546	147.9439458	326.010254	WGS84		Helen Bothwell		Y	Esid w fruit	dp15		
NSW0222	Eucalyptus sideroxylon		-32.94891402	147.8816904	299.574219	WGS84		Helen Bothwell		Y	Esid, lots of fruit	dp15		
NSW0223	Eucalyptus melliodora		-32.88425309	147.6891232	262.08313	WGS84		Helen Bothwell		Y	Emel? Juv leaves and axial umbels perfect, but fruits a bit small 5-valved, lots of fruit	dp15		
NSW0224	Eucalyptus melliodora		-32.67660854	147.5864269	255.113647	WGS84		Helen Bothwell		Y	TONS of good 5-valved fruit, Emel	dp15		
NSW0225	Eucalyptus sideroxylon		-32.60118817	147.551004	246.942505	WGS84		Helen Bothwell		Y	Esid, lots of fruit, but seem a bit smaller and more barrel-shaped, some typical big tough leaves but also some quite small narrow ones, lots of variation in both fruits and leaves, umbels quite small too, a bit odd	dp15		
NSW0226	Eucalyptus sideroxylon		-32.56866672	147.5501287	268.572021	WGS84		Helen Bothwell		Y	Esid, lots of fruit	dp15		
NSW0228	Eucalyptus sideroxylon		-32.48178863	147.5559789	272.657593	WGS84		Helen Bothwell		Y	Esid, tons of fruit, just finishing flowering	dp15		
NSW0229	Eucalyptus sideroxylon		-32.44752567	147.5309473	275.301147	WGS84		Helen Bothwell		Y	Esid, tons of fruit, just finishing flowering	dp15		
NSW0230	Eucalyptus sideroxylon		-32.32536161	147.4490555	244.779541	WGS84		Helen Bothwell		Y	Esid, tons of fruit, just finishing flowering	dp15		
NSW0231	Eucalyptus sideroxylon		-32.39632113	147.4536348	258.718506	WGS84		Helen Bothwell		Y	Esid, lots of fruit	dp15		
NSW0232	Eucalyptus sideroxylon		-32.40859215	147.4304442	279.386719	WGS84		Helen Bothwell		Y	Esid, lots of fruit	dp15		
NSW0234	Eucalyptus sideroxylon		-32.71063068	146.9679654	274.099487	WGS84		Helen Bothwell		Y	Younger-mid aged Esid, flowering, lots of fruit	dp15		
NSW0235	Eucalyptus sideroxylon		-32.61420275	147.0156612	308.226074	WGS84		Helen Bothwell		Y	NSW0236-NSW0247 envelopes nowhere to be found ??	dp15		
NSW0249	Eucalyptus sideroxylon		-32.53290567	147.4559476	298.372559	WGS84		Helen Bothwell		Y	Big old Esid, many fruits, flowering	dp15		
NSW0251	Eucalyptus sideroxylon		-32.55682116	147.4776511	289.480469	WGS84		Helen Bothwell		Y	Still good stand continuing, lots of fruit	dp15		
NSW0252	Eucalyptus sideroxylon		-32.57087342	147.4901369	288.519287	WGS84		Helen Bothwell		Y	Esid, fruit	dp15		
NSW0254	Eucalyptus sideroxylon		-32.59760558	147.5158107	267.370361	WGS84		Helen Bothwell		Y	Esid, fruit	dp15		
NSW0255	Eucalyptus sideroxylon		-32.66352514	147.4763455	276.502808	WGS84		Helen Bothwell		F	Just a few fruit	dp15		
NSW0256	Eucalyptus melliodora		-32.68483621	147.4719048	264.726685	WGS84		Helen Bothwell		Y	Emel! Lots of good fruit	dp15		
NSW0257	Eucalyptus sideroxylon		-32.81261858	147.4230573	319.521484	WGS84		Helen Bothwell		Y	Esid, fruit	dp15		
NSW0258	Eucalyptus sideroxylon		-32.82673186	147.416004	323.607056	WGS84		Helen Bothwell		Y	Some fruit	dp15		
NSW0259	Eucalyptus sideroxylon		-32.84227928	147.4121246	312.071289	WGS84		Helen Bothwell		Y	Axial fruits rather small, but tons of Esid in the area	dp15		
NSW0260	Eucalyptus sideroxylon		-32.85297216	147.409622	317.839233	WGS84		Helen Bothwell		Y	Lots of bigger fruits	dp15		
NSW0260_1	Eucalyptus sideroxylon		-32.85297216	147.409622	317.839233	WGS84		Helen Bothwell		Y	Lots of bigger fruits	dp15		
NSW0260_2	Eucalyptus sideroxylon		-32.85297216	147.409622	317.839233	WGS84		Helen Bothwell		Y	Lots of bigger fruits	dp15		
NSW0261	Eucalyptus sideroxylon		-32.8671069	147.4070275	316.156982	WGS84		Helen Bothwell		Y	Lots of bigger fruits	dp15		
NSW0263	Eucalyptus sideroxylon		-32.95312341	147.4140858	320.242432	WGS84		Helen Bothwell		F	Few fruits	dp15		
NSW0264	Eucalyptus sideroxylon		-32.9657588	147.3860872	290.922485	WGS84		Helen Bothwell		Y	Esid fruit	dp15		
NSW0268	Eucalyptus melliodora		-33.39228242	147.558404	218.103149	WGS84		Helen Bothwell		Y	ALAM4159 - good Emel, lots of good 5-valved fruits not barrel-shaped, in axial position only, leaves gray-green good juv	dp15		
NSW0279	Eucalyptus melliodora		-33.47450646	148.7558038	409.884644	WGS84		Helen Bothwell		Y	Enormous old Emel, good fruit, axial umbels	dp15		
NSW0287	Eucalyptus melliodora		-33.38362559	148.105996	245.981201	WGS84		Helen Bothwell		Y	Good plump Emel fruits, monster	dp15		
NSW0288	Eucalyptus melliodora		-33.40575364	147.9803256	239.973022	WGS84		Helen Bothwell		Y	Big Emel, some fruit, just done flowering	dp15		
NSW0293	Eucalyptus melliodora		-33.8361601	148.6472566	302.698608	WGS84		Helen Bothwell		Y	Big old Emel, possibly planted? Many good 5-valved fruits	dp15		
NSW0294	Eucalyptus sideroxylon		-33.91078846	148.4386255	465.640747	WGS84		Helen Bothwell		N	Younger Esid, leaves only	dp15		
NSW0295	Eucalyptus sideroxylon		-33.916353290000004	148.4289102	492.797852	WGS84		Helen Bothwell		Y	Esid, lots of fruit	dp15		
NSW0296	Eucalyptus sideroxylon		-33.9230713	148.4112073	506.49646	WGS84		Helen Bothwell		Y	Older Esid, fruit	dp15		
NSW0297	Eucalyptus melliodora		-33.9340008	148.3936114	450.980713	WGS84		Helen Bothwell		Y	Emel, fruit	dp15		
NSW0303	Eucalyptus sideroxylon		-34.02354467	148.6794614	371.912964	WGS84		Helen Bothwell		Y	Esid, younger, a handful of good fruits	dp15		
NSW0304	Eucalyptus sideroxylon		-34.0200733	148.6736443	370.95166	WGS84		Helen Bothwell		Y	Esid, old tree, sampled younger growth on low limb, fruits on smaller side	dp15		
NSW0305	Eucalyptus sideroxylon		-34.01779451	148.6660446	378.64209	WGS84		Helen Bothwell		Y	Big older Esid, mature foliage, TONS of fruit	dp15		
NSW0306	Eucalyptus sideroxylon		-34.011464	148.6543079	377.921021	WGS84		Helen Bothwell		Y	Some fruit, good fairly continuous stand of Esid through here; E. albens is dominant through here, whereas E. microcarpa is dominant W of Forbes	dp15		
NSW0311	Eucalyptus melliodora		-34.23932545	148.4123409	398.348999	WGS84		Helen Bothwell		Y	Perfect Emel, although fruit a bit on the small side	dp15		
NSW0319	Eucalyptus melliodora		-34.34623553	148.6344898	566.818848	WGS84		Helen Bothwell		Y	Good ol Emel, lots of plump fruit, axial, juv leaves ovate gray-green, perfect	dp15		
NSW0322	Eucalyptus melliodora		-34.44177163	148.7590894	493.278442	WGS84		Helen Bothwell		Y	Lots of nice plump fruit, lower leaves margins area really eaten up	dp15		
NSW0325	Eucalyptus melliodora		-35.10194927	149.329333	686.742188	WGS84		Helen Bothwell & Margaret Mackinnon		Y	Lots of good plump 5-valved fruits;  good leaves, bark and axial inflor.	dp15		
NSW0334	Eucalyptus melliodora		-34.7289104	149.187526	553.841064	WGS84		Helen Bothwell & Margaret Mackinnon		Y	Good old Emel, good fruits and axial inflor.	dp15		
NSW0336	Eucalyptus melliodora		-29.66700926	151.0560641	613.922852	WGS84		Helen Bothwell		Y	Good Emel, TONS of plump 5-valved fruits (ALAM10866)	dp15		
NSW0342	Eucalyptus melliodora		-29.47903049	150.9349163	607.434082	WGS84		Helen Bothwell		Y	Lots of fruits, plump, many 4-valved some 5, good gray-green leaves, 7 axial inflor	dp15		
NSW0344	Eucalyptus melliodora		-29.36829784	150.9126307	525.482422	WGS84		Helen Bothwell		Y	LOADED w flowers, bees, tons of fruits, but very green/immature	dp15		
NSW0346	Eucalyptus melliodora		-29.24407921	150.8960443	420.459106	WGS84		Helen Bothwell		Y	Good Emel, TONS of plump 5-valved fruits, loaded w flowers, bees, 7 axial inflor	dp15		
NSW0347	Eucalyptus melliodora		-29.53112084	150.5629587	336.344482	WGS84		Helen Bothwell		Y	Good Emel, TONS of nice plump 5-valved fruits, 7 axial inflor, leaves pretty sparse - v dry out here	dp15		
NSW0349	Eucalyptus melliodora		-29.56176172	150.5434104	325.289307	WGS84		Helen Bothwell		Y	TONS of good Emel fruit, 1 flower, just done flowering	dp15		
NSW0356	Eucalyptus sideroxylon		-29.85969194	150.8983499	698.278076	WGS84		Helen Bothwell		Y	Lots of fruit	dp15		
NSW0357	Eucalyptus sideroxylon		-29.84141068	150.8883544	694.913574	WGS84		Helen Bothwell		Y	Lots of fruit, along fence, possibly planted, but many Esid in area	dp15		
NSW0358	Eucalyptus sideroxylon		-29.81534866	150.9138883	683.137207	WGS84		Helen Bothwell		Y	White flowers, plenty of fruit	dp15		
NSW0359	Eucalyptus sideroxylon		-29.80145079	150.9211789	655.259277	WGS84		Helen Bothwell		Y	Lots of fruit	dp15		
NSW0360	Eucalyptus melliodora		-29.78798241	150.9468755	653.576904	WGS84		Helen Bothwell		Y	Lots of fruit, big tree, architecture seems rather straight for Emel	dp15		
NSW0361	Eucalyptus sideroxylon		-29.98876344	151.1105486	830.458252	WGS84		Helen Bothwell		Y	Some fruits	dp15		
NSW0364	Eucalyptus sideroxylon		-30.14525173	151.0761101	693.47168	WGS84		Helen Bothwell		Y	TONS of fruits, just finishing flowering	dp15		
NSW0365	Eucalyptus melliodora		-30.21748169	150.9452369	860.739746	WGS84		Helen Bothwell		Y	Respout, big old tree, lots of fruit; in burn area	dp15		
NSW0367	Eucalyptus sideroxylon		-30.21489873	150.7828832	703.084717	WGS84		Helen Bothwell		F	Just a few fruits, flowering, lots of new fruits but too immature/soft/green; in burn area	dp15		
NSW0369	Eucalyptus sideroxylon		-30.26379188	150.7287346	679.532471	WGS84		Helen Bothwell		Y	Big old Esid, many fruits	dp15		
NSW0370	Eucalyptus sideroxylon		-30.26340497	150.7291427	679.532471	WGS84		Helen Bothwell		Y	Big old Esid, many fruits	dp15		
NSW0374	Eucalyptus melliodora		-30.29915655	150.7871889	544.708618	WGS84		Helen Bothwell		Y	Plenty of fruit, 4/5-valved	dp15		
NSW0375	Eucalyptus sideroxylon		-30.29369935	150.7947231	566.0979	WGS84		Helen Bothwell		F	Few fruit	dp15		
NSW0376	Eucalyptus sideroxylon		-30.21560951	150.7006708	741.537109	WGS84		Helen Bothwell		F	Few fruit	dp15		
NSW0377	Eucalyptus sideroxylon		-30.1814981	150.6607832	737.211182	WGS84		Helen Bothwell		Y	Lots of fruit	dp15		
NSW0378	Eucalyptus melliodora		-30.18187612	150.6538212	698.999023	WGS84		Helen Bothwell		Y	Some fruit	dp15		
NSW0379	Eucalyptus melliodora		-29.80271428	150.6009026	303.179199	WGS84		Helen Bothwell		Y	Lots of fruits	dp15		
NSW0380	Eucalyptus melliodora		-29.77251621	151.2015618	678.571045	WGS84		Helen Bothwell		Y	Many fruits	dp15		
NSW0385	Eucalyptus melliodora		-29.65709128	151.3777101	845.358643	WGS84		Helen Bothwell		Y	Lots of fruits, in forest, smaller fruits, taller, straighter than field trees	dp15		
NSW0392	Eucalyptus melliodora		-29.46364668	151.4856995	753.793701	WGS84		Helen Bothwell		Y	Lots of fruit	dp15		
NSW0394	Eucalyptus melliodora		-29.513433590000002	151.8577896	1028.488281	WGS84		Helen Bothwell		Y	Some seed	dp15		
NSW0399	Eucalyptus melliodora		-30.17427416	151.0763469	654.778564	WGS84		Helen Bothwell		Y	Lots of fruits	dp15		
NSW0401	Eucalyptus sideroxylon		-30.26361535	151.1715356	699.239502	WGS84		Helen Bothwell		F	Only 2 fruits, lots of Esid here but all v tall and no reachable fruits	dp15		
NSW0402	Eucalyptus sideroxylon		-30.26444005	151.1739639	702.123291	WGS84		Helen Bothwell		F	Few fruits	dp15		
NSW0404	Eucalyptus melliodora		-30.33818219	151.2148598	720.147705	WGS84		Helen Bothwell		Y	Fruit	dp15		
NSW0421	Eucalyptus melliodora		-30.74259594	151.1421841	849.203857	WGS84		Helen Bothwell		Y	Mid-aged Emel, finally lots of fruit	dp15		
NSW0424	Eucalyptus melliodora		-30.71791652	151.007706	856.654053	WGS84		Helen Bothwell		Y	Big Emel, plenty of large fruit, axial inflor, just done flowering	dp15		
NSW0431	Eucalyptus melliodora		-33.56762814	149.7169738	752.592041	WGS84		Helen Bothwell		Y	Fruits smaller	dp15		
NSW0437	Eucalyptus melliodora		-33.64004829	149.1013271	691.30835	WGS84		Helen Bothwell		Y	LOTS of fruits & more normal Emel size, mostly 5-valved but some 6, flowering, 7 axial inflor.	dp15		
NSW0438	Eucalyptus melliodora		-33.64965747	149.0052041	662.229004	WGS84		Helen Bothwell		Y	Huge old Emel, loaded w fruits, flowers, bees	dp15		
NSW0476	Eucalyptus sideroxylon		-34.27466204	148.8474648	518.753174	WGS84		Helen Bothwell		Y	Lots of fruits	dp15		
NSW0480	Eucalyptus sideroxylon (hyb?)		-34.31748418	148.9161931	618.008545	WGS84		Helen Bothwell		Y	Flowers v white, no pink tinge, some leaves ovate, hyb w Emel?? Some typical Esid big fruits	dp15		
NSW0481	Eucalyptus sideroxylon		-34.31118568	148.9761603	645.165527	WGS84		Helen Bothwell		Y	Lots of white flowers and fruit, classic leaves, lots of ants pollinating flowers	dp15		
NSW0482	Eucalyptus sideroxylon		-34.30988138	148.9898644	616.085938	WGS84		Helen Bothwell		Y	White flowers, ants, and lots of fruit	dp15		
NSW0484	Eucalyptus sideroxylon		-34.28507941	149.0287272	519.714478	WGS84		Helen Bothwell		F	Pink flowers, only 2 fruits, good drooping inflor, leaves a bit smaller/softer than typical	dp15		
NSW0486	Eucalyptus melliodora		-34.38329268	149.0343094	614.403564	WGS84		Helen Bothwell		Y	Big beautiful old Emel, perfect, lots of plump 5-valved fruits, 7 axial inflor	dp15		
NSW0487	Eucalyptus melliodora		-34.48603319	148.9311878	602.627686	WGS84		Helen Bothwell		Y	Lots of good fruits	dp15		
NSW0489	Eucalyptus sideroxylon		-33.93080737	147.1581723	293.325684	WGS84		Helen Bothwell		Y	Some fruits	dp15		
NSW0490	Eucalyptus melliodora		-34.69272405	148.9693071	664.632324	WGS84		Helen Bothwell		Y	Lots of good fruits, old Emel	dp15		
NSW0492	Eucalyptus sideroxylon		-33.93868377	147.1302972	296.690308	WGS84		Helen Bothwell		Y	Right next to 491 but LOTS of fruit	dp15		
NSW0493	Eucalyptus sideroxylon		-33.94302073	147.1145585	306.303467	WGS84		Helen Bothwell		Y	TONS of fruit	dp15		
NSW0494	Eucalyptus sideroxylon		-33.94773128	147.0971715	313.513306	WGS84		Helen Bothwell		Y	Lots of fruit	dp15		
NSW0495	Eucalyptus sideroxylon		-33.95573407	147.0661001	298.853271	WGS84		Helen Bothwell		Y	Lots of fruit	dp15		
NSW0496	Eucalyptus sideroxylon		-33.95784513	147.0453473	286.836914	WGS84		Helen Bothwell		Y	Lots of fruit	dp15		
NSW0497	Eucalyptus sideroxylon		-33.97550781	147.0083627	278.425415	WGS84		Helen Bothwell		Y	Some fruit	dp15		
NSW0498	Eucalyptus sideroxylon		-33.96665091	147.0426918	288.278931	WGS84		Helen Bothwell		Y	Some fruits, leaves covered in pathogens	dp15		
NSW0499	Eucalyptus sideroxylon		-33.98054064	147.0673416	284.914307	WGS84		Helen Bothwell		Y	Some fruit	dp15		
NSW0500	Eucalyptus sideroxylon		-33.98532202	147.1109629	282.510986	WGS84		Helen Bothwell		N	Leaves only	dp15		
NSW0501	Eucalyptus sideroxylon		-33.98577724	147.1484845	287.557861	WGS84		Helen Bothwell		Y	Fruits	dp15		
NSW0502	Eucalyptus sideroxylon		-33.79060663	147.0970984	300.776001	WGS84		Helen Bothwell		Y	Lots of smallish fruits	dp15		
NSW0503	Eucalyptus sideroxylon		-33.77886292	147.0590381	280.588379	WGS84		Helen Bothwell		Y	Many fruits	dp15		
NSW0504	Eucalyptus sideroxylon		-33.77181005	147.0460198	302.217896	WGS84		Helen Bothwell		Y	Many fruits	dp15		
NSW0505	Eucalyptus sideroxylon		-33.85499826	147.3780592	264.005737	WGS84		Helen Bothwell		F	Just a few fruits	dp15		
NSW0506	Eucalyptus sideroxylon		-33.82323411	147.3650443	269.533325	WGS84		Helen Bothwell		Y	Lots of fruit	dp15		
NSW0507	Eucalyptus sideroxylon		-33.81432943	147.3661022	271.215698	WGS84		Helen Bothwell		Y	~8 fruits	dp15		
NSW0508	Eucalyptus sideroxylon		-34.0877736	147.1423743	281.309326	WGS84		Helen Bothwell		Y	Fruits and leaves on smaller side	dp15		
NSW0509	Eucalyptus sideroxylon		-34.12744381	147.1250512	317.358643	WGS84		Helen Bothwell		Y	Fruits and leaves on smaller side	dp15		
NSW0510	Eucalyptus sideroxylon (hyb?)		-34.13608228	147.1169113	316.637573	WGS84		Helen Bothwell		Y	Bark grayer, leaves and fruits smaller, leaves hammered w pathogens	dp15		
NSW0512	Eucalyptus sideroxylon		-34.12057702	146.9954963	294.046753	WGS84		Helen Bothwell		Y	Good leaves and larger fruits, red-tinged bark furrows, lots of fruit, pathogens	dp15		
NSW0513	Eucalyptus sideroxylon		-34.11738225	146.971972	289.961182	WGS84		Helen Bothwell		N	Leaves only; finally a tree not loaded w pathogens, healthy looking leaves	dp15		
NSW0514	Eucalyptus sideroxylon		-34.15737776	146.9196113	314.9552	WGS84		Helen Bothwell		Y	Lots of fruits and pathogens	dp15		
NSW0515	Eucalyptus sideroxylon		-34.1610798	146.84587	202.241455	WGS84		Helen Bothwell		Y	Many fruits	dp15		
NSW0516	Eucalyptus sideroxylon		-34.21314491	146.7332754	177.728149	WGS84		Helen Bothwell		Y	Fruits and lots of leaf pathogens	dp15		
NSW0517	Eucalyptus sideroxylon		-34.22329808	146.7314815	181.333008	WGS84		Helen Bothwell		Y	Lots of fruits, healthier leaves	dp15		
