run	library	sample	include	project	date
2020_Borevitz_UWA_S4	E_brandiana_2	Eucalyptus_brandiana	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_camadulensis_ANBG_1	Eucalyptus_camadulensis_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_camadulensis_ANBG_2	Eucalyptus_camadulensis_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_cladocalyx_1	Eucalyptus_cladocalyx	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_cladocalyx_2	Eucalyptus_cladocalyx	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_cloezania_ANBG_1	Eucalyptus_cloezania_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_cloezania_ANBG_2	Eucalyptus_cloezania_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_coolabah_1	Eucalyptus_coolabah	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_coolabah_2	Eucalyptus_coolabah	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_curtisii_ANBG_1	Eucalyptus_curtisii_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_curtisii_ANBG_2	Eucalyptus_curtisii_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_decipiens_1	Eucalyptus_decipiens	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_decipiens_2	Eucalyptus_decipiens	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_desmondensis_1	Eucalyptus_desmondensis	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_desmondensis_2	Eucalyptus_desmondensis	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_diversifolia_1	Eucalyptus_diversifolia	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_diversifolia_2	Eucalyptus_diversifolia	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_elata_ANBG_1	Eucalyptus_elata_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_elata_ANBG_2	Eucalyptus_elata_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_erythrocorys_ANBG_1	Eucalyptus_erythrocorys_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_erythrocorys_ANBG_2	Eucalyptus_erythrocorys_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_globulus_UTAS_Campus_1	Eucalyptus_globulus_UTAS_Campus	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_globulus_UTAS_Campus_2	Eucalyptus_globulus_UTAS_Campus	Y	EucPan	2020-01
